pmcid,title,doi,license,journal,n_sections,n_chars
PMC13341970,"Impaired binocular vision with bangerter foil and its influence on fine motor skills: a clinical observational, randomized and cross-sectional study",10.1007/s00417-026-07150-2,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,15,31888
PMC13342018,Efficacy and safety of intraocular lens removal combined with vitrectomy for acute endophthalmitis in pseudophakic eyes,10.1007/s00417-026-07185-5,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,8,25320
PMC13342195,Intraocular pressure spikes after trabecular meshwork strip peeling during hemi-GATT,10.1007/s00417-026-07182-8,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,10,26913
PMC13342418,Seeing through the veil: blue-light filtering and peak contrast sensitivity in pseudophakic patients,10.1007/s00417-026-07171-x,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,8,16627
PMC13342346,From incision to implantation: holter-based stress profiling in ophthalmology residents during cataract surgery,10.1007/s00417-026-07189-1,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,6,29259
PMC13341706,Choriocapillaris flow deficits and choroidal vascular index in the fellow eye of patients with central serous chorioretinopathy,10.1007/s00417-026-07147-x,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,8,24870
PMC13339542,"Development and validation of a novel and graded colour saturation threshold test, the LSS-8",10.1186/s12886-026-04907-5,CC BY 4.0,BMC Ophthalmology,12,20175
PMC13339449,Efficacy and safety of 577 nm subthreshold laser treatment in acute central serous chorioretinopathy,10.1186/s12886-026-04917-3,CC BY 4.0,BMC Ophthalmology,6,15525
PMC13339574,An evaluation of anatomical and functional outcomes in patients undergoing retinectomy for proliferative vitreoretinopathy,10.1186/s12886-026-04904-8,CC BY 4.0,BMC Ophthalmology,8,22078
PMC13335322,Flanged scleral fixation: thermoplastic properties of suture materials and implications for flange geometry,10.1186/s12886-026-05091-2,CC BY 4.0,BMC Ophthalmology,5,18411
PMC13335290,Comparison of early postoperative dry eye after KLEx and FS-LASIK: a contralateral eye study,10.1186/s12886-026-04902-w,CC BY 4.0,BMC Ophthalmology,13,22239
PMC13334434,"Zinc in eye health, retinal biology and disease",10.1016/j.preteyeres.2025.101404,CC BY 4.0,Progress in retinal and eye research,34,97032
PMC13332519,The CXXC1-IGFBP6 Axis Maintains Corneal Epithelial Differentiation via H3K4me3-Dependent Transcriptional Activation,10.1167/iovs.67.8.7,CC BY 4.0,Investigative Ophthalmology & Visual Science,17,31174
PMC13332527,Preclinical Safety and Feasibility Study of Line-Field Confocal Optical Coherence Tomography for Ophthalmology Applications,10.1167/tvst.15.7.1,CC BY 4.0,Translational Vision Science & Technology,14,32234
PMC13328053,Central Retinal Sensitivity Decline in RPGR-Related Retinal Phenotypes,10.1016/j.ajo.2025.11.002,CC BY 4.0,American Journal of Ophthalmology,8,19048
PMC13326315,Timing of anti-VEGF therapy and postoperative macular edema after cataract surgery in eyes with retinal vein occlusion: a retrospective cohort study,10.1186/s12886-026-05040-z,CC BY 4.0,BMC Ophthalmology,27,26389
PMC13326888,Automated Deep Learning Quantification of Avascular Area and Intravitreal Neovascularization in Retinal Flatmounts of Rodent Oxygen-Induced Retinopathy Models,10.1167/tvst.15.6.41,CC BY 4.0,Translational Vision Science & Technology,23,36799
PMC13326892,Investigating the Correlation Between Choroidal Alteration and Visual Function Metrics in Dysthyroid Optic Neuropathy,10.1167/tvst.15.6.38,CC BY 4.0,Translational Vision Science & Technology,14,23420
PMC13326837,Reduced Image Quality Impairs Monocular Blur-Driven Accommodation in Keratoconus,10.1167/iovs.67.6.52,CC BY 4.0,Investigative Ophthalmology & Visual Science,14,29547
PMC13321553,Development and preliminary validation of a hybrid three-dimension printed model for glaucoma drainage device surgery training: a prospective simulation-based study,10.1186/s12886-026-05034-x,CC BY 4.0,BMC Ophthalmology,17,25611
PMC13321653,Outcomes of primary orbital implantation in evisceration/enucleation in patients with endophthalmitis in a tertiary hospital,10.1186/s12886-026-04871-0,CC BY 4.0,BMC Ophthalmology,7,19510
PMC13321662,Laser peripheral iridectomy use in the unoperated eyes of hospitalised patients with primary angle-closure glaucoma in a national multicentre study in China,10.1186/s12886-026-04873-y,CC BY 4.0,BMC Ophthalmology,13,21947
PMC13316682,Assessing Polypoidal Choroidal Vasculopathy-Related OCT Features in the TENAYA and LUCERNE Trials,10.1016/j.xops.2026.101217,CC BY 4.0,Ophthalmology Science,12,18414
PMC13315181,Epiretinal Membrane Is Associated with Acquired Vitelliform Lesion Morphometrics in Intermediate Age-Related Macular Degeneration,10.1016/j.xops.2026.101228,CC BY 4.0,Ophthalmology Science,9,19562
PMC13317925,Comparison of the Ratio Between Anterior and Posterior Curvature Centered on the Thinnest Point (A/B Ratio) in Normal and Keratoconus Eyes,10.1167/tvst.15.6.34,CC BY 4.0,Translational Vision Science & Technology,6,14814
PMC13317317,Real-world outcomes of faricimab in treatment-naïve patients with neovascular age-related macular degeneration,10.1186/s12886-026-05019-w,CC BY 4.0,BMC Ophthalmology,18,19320
PMC13311265,Tropomyosin-Related Kinase Receptor Type B Agonism in Geographic Atrophy—The Translational Challenges from Preclinical Data to a First-in-Human Trial,10.1016/j.xops.2026.101216,CC BY 4.0,Ophthalmology Science,21,35102
PMC13312653,Unsupervised phenotyping of suspect keratoconus based on posterior tomography and epithelial remodeling,10.1186/s12886-026-05084-1,CC BY 4.0,BMC Ophthalmology,18,32348
PMC13313041,Proteomic and Clinical Characterization of Active vs. Quiescent Pterygium With Elevated Thrombospondin-1,10.1167/tvst.15.6.30,CC BY 4.0,Translational Vision Science & Technology,23,29306
PMC13313043,High-Color-Temperature Lighting Is Associated With Activation of MAPK/ERK–nNOS Signaling and MMP-2–Related Pathways in Ocular Tissues,10.1167/iovs.67.6.46,CC BY 4.0,Investigative Ophthalmology & Visual Science,16,21391
PMC13311959,The retinal nerve fibre layer thickness slope: a localised biomarker of the structure–function relationship in early glaucoma,10.1136/bjo-2025-328330,CC BY 4.0,The British Journal of Ophthalmology,7,25937
PMC13306483,Neuroretinal Layer Thinning on OCT Imaging and Hemoglobin A1c in Youth With Type 1 Diabetes,10.1001/jamaophthalmol.2026.1341,CC BY 4.0,JAMA Ophthalmology,13,24644
PMC13295483,Early macular microvascular attenuation in moderate myopia: projection artifact-removed and magnification-corrected optical coherence tomography angiography in an Iranian adult cohort,10.1186/s12886-026-05057-4,CC BY 4.0,BMC Ophthalmology,21,22116
PMC13292590,Disease and Participant-Related Correlates of Genetic Testing Completion for Hereditary Eye Disorders in a Cohort of over 1400 Patients,10.1016/j.xops.2026.101218,CC BY 4.0,Ophthalmology Science,11,35107
PMC13284456,Machine Learning–Based Prediction of Long-Term Intraocular Pressure Fluctuations in Open-Angle Glaucoma,10.1016/j.xops.2026.101240,CC BY 4.0,Ophthalmology Science,17,26906
PMC13284455,Assessing Pupil Light Reflex Metrics in Glaucoma: Insights from a Systematic Review and Meta-Analysis,10.1016/j.xops.2026.101225,CC BY 4.0,Ophthalmology Science,16,39162
PMC13284919,Analysis of Histostructural Modifications in the Ocular Surface of Patients With Chronic Glaucoma,10.1167/iovs.67.6.43,CC BY 4.0,Investigative Ophthalmology & Visual Science,9,31417
PMC13283042,Imaging of the retinal hypoxia: A journey from oxygen microelectrode to the first hypoxia imaging in the living retina,10.1016/j.preteyeres.2025.101411,CC BY 4.0,Progress in retinal and eye research,35,52160
PMC13279026,Topotecan Microneedle Scleral Patch: A Transscleral Drug Delivery Study for Retinoblastoma,10.1016/j.xops.2026.101226,CC BY 4.0,Ophthalmology Science,29,28772
PMC13281624,"Indications and outcome of intravitreal bevacizumab injection in a Community Eye Hospital, Nepal",10.1186/s12886-026-05039-6,CC BY 4.0,BMC Ophthalmology,20,21595
PMC13281955,Monitoring of Geographic Atrophy Progression in Age-Related Macular Degeneration Using Fluorescence Lifetime Imaging Ophthalmoscopy,10.1167/iovs.67.6.31,CC BY 4.0,Investigative Ophthalmology & Visual Science,14,15813
PMC13281954,Microsaccade Dynamics During Visual Fixation as Markers for Parkinson's Disease: A Machine Learning Approach,10.1167/tvst.15.6.19,CC BY 4.0,Translational Vision Science & Technology,18,51805
PMC13277791,Corneal Innervation Research at a Crossroads: A Tool-Driven Roadmap for the Future,10.1167/iovs.67.6.25,CC BY 4.0,Investigative Ophthalmology & Visual Science,19,63293
PMC13277792,Macula- Versus Disc-Centered Fundus Photography: Performance in Age-Prediction and Disease Associations,10.1167/iovs.67.6.24,CC BY 4.0,Investigative Ophthalmology & Visual Science,15,21290
PMC13277790,"Immunological Interplay at the Ocular Surface of Stevens-Johnson Syndrome, Ocular Cicatricial Pemphigoid, and Ocular Graft Versus Host Disease",10.1167/iovs.67.6.26,CC BY 4.0,Investigative Ophthalmology & Visual Science,25,44466
PMC13277789,The iCre-DTA176 Mouse Exhibits Canonical Spontaneous Network Activity Associated With Retinal Degeneration,10.1167/iovs.67.6.27,CC BY 4.0,Investigative Ophthalmology & Visual Science,26,34774
PMC13277245,Does axial length drive retinal displacement after repair of rhegmatogenous retinal detachment following phacoemulsification,10.1186/s12886-026-04867-w,CC BY 4.0,BMC Ophthalmology,9,26418
PMC13277208,Clinical outcomes of the eight-chop technique in white cataract: a retrospective case series,10.1186/s12886-026-04859-w,CC BY 4.0,BMC Ophthalmology,20,35819
PMC13274775,Subretinal Aspects of the Optoretinographic Response,10.1167/iovs.67.6.21,CC BY 4.0,Investigative Ophthalmology & Visual Science,9,20849
PMC13270678,Monofocal intraocular lens based on the Bessel principle for improved intermediate vision: a comparative assessment,10.1186/s12886-026-04973-9,CC BY 4.0,BMC Ophthalmology,11,20755
PMC13269770,The quality-of-life impacts and economic burden of X-linked retinitis pigmentosa caused by variants in RPGR,10.1038/s41433-026-04532-y,CC BY 4.0,Eye,23,20622
PMC13269692,"Contact lenses with non‑refractive opaque features for paediatric myopia: a randomised, safety pilot trial",10.1038/s41433-026-04469-2,CC BY 4.0,Eye,5,4787
PMC13269743,Retinopathy caused by a primary immune regulatory disorder - the spectrum of AIRE-associated retinopathy: case series and literature review,10.1038/s41433-026-04365-9,CC BY 4.0,Eye,15,25513
PMC13269473,Racial and microvascular determinants of progression to treatment-warranted diabetic eye disease,10.1038/s41433-026-04417-0,CC BY 4.0,Eye,14,23200
PMC13269761,Defining a standards framework for ophthalmology real-world data methodologies through an expert-led Delphi consensus,10.1038/s41433-026-04424-1,CC BY 4.0,Eye,23,30063
PMC13269760,"Area Deprivation and Social Vulnerability Are Associated with Pediatric Vision Screening Outcomes in the University of California, Irvine EyeMobile Program",10.1038/s41433-026-04394-4,CC BY 4.0,Eye,20,37067
PMC13269688,Long term evolutions of hard exudates after anti-VEGF therapy for diabetic macular oedema,10.1038/s41433-026-04408-1,CC BY 4.0,Eye,14,24410
PMC13269992,Pachychoroid pigment epitheliopathy: long-term structural changes and risk factors for disease evolution,10.1038/s41433-026-04410-7,CC BY 4.0,Eye,11,24687
PMC13263970,Ezh2 Control of Bivalent Genes Fine-Tunes Developmental Competence During Retinogenesis,10.1167/iovs.67.6.18,CC BY 4.0,Investigative Ophthalmology & Visual Science,15,30006
PMC13263985,Complement C5a Promotes Epithelial-Mesenchymal Transition in Pterygium via C5aR Activation,10.1167/iovs.67.6.16,CC BY 4.0,Investigative Ophthalmology & Visual Science,29,36845
PMC13260094,Ethnicity-Stratified Normative Retinal Vascular Features from the UK Biobank Using Deep Learning,10.1016/j.xops.2026.101221,CC BY 4.0,Ophthalmology Science,12,21707
PMC13262527,Association of papilledema severity with retinal vessel tortuosity in idiopathic intracranial hypertension,10.1007/s00417-026-07254-9,CC BY 4.0,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,12,16086
PMC13254870,A Continuous Severity Index for Keratoconus Diagnosis Based on Kolmogorov–Arnold Networks in a Chinese Population,10.1016/j.xops.2026.101168,CC BY 4.0,Ophthalmology Science,20,18836
PMC13255065,Gene-Environment Interaction Loci Associated with Refractive Error: SCAMPI Analysis,10.1016/j.xops.2026.101219,CC BY 4.0,Ophthalmology Science,12,29100
PMC13251303,Incidence of scleritis requiring surgical repair from subconjunctival triamcinolone acetonide injections in patients with scleritis in TriNetX,10.1186/s12886-026-05012-3,CC BY 4.0,BMC Ophthalmology,5,9626
PMC13252123,Complement-Modulating Mechanisms of Ginkgo biloba Extract in Dry AMD: Insights From Molecular Docking and Dynamics Simulations,10.1167/tvst.15.6.13,CC BY 4.0,Translational Vision Science & Technology,16,32500
PMC13252124,Short-Term Effects of Optically Induced and Digitally Simulated Myopic Blur on Retinal Perfusion: Insights From Optical Coherence Tomography Angiography,10.1167/iovs.67.6.13,CC BY 4.0,Investigative Ophthalmology & Visual Science,16,39870
PMC13249099,Stress Responsive bZIP Transcription Factors ATF4 and BACH1 Cooperate With MAF-Family bZIP Protein NRL to Fine-Tune Rod Photoreceptor Gene Expression,10.1167/iovs.67.6.9,CC BY 4.0,Investigative Ophthalmology & Visual Science,22,37171
PMC13244889,CoCl2-induced alterations in antioxidative and inflammatory marker expression in an siRNA-based in vitro model of aniridia-associated limbal epithelial dysfunction,10.1186/s12886-026-04982-8,CC BY 4.0,BMC Ophthalmology,16,32074
PMC13245029,Limited clinical relevance of systemic inflammatory indices in idiopathic epiretinal membrane: a retrospective case–control study,10.1186/s12886-026-04842-5,CC BY 4.0,BMC Ophthalmology,8,24379
PMC13238134,Morphological characteristics of graft-host interface after ultra thin Descemet stripping automated endothelial keratoplasty (UT-DSAEK): impact of Descemetorhexis technique assessed by in vivo confocal microscopy (IVCM) and anterior segment optical coherence tomography (AS-OCT),10.1186/s12886-026-04823-8,CC BY 4.0,BMC Ophthalmology,17,34521
PMC13235489,A Datasheet for the INSIGHT Moorfields Cornea Anterior Segment Dataset (CADMUS),10.1016/j.xops.2026.101203,CC BY 4.0,Ophthalmology Science,22,23730
PMC13234230,Photoreceptor Density–Dependent Kinetics of Geographic Atrophy Progression,10.1016/j.xops.2026.101198,CC BY 4.0,Ophthalmology Science,21,43480
PMC13235459,Automated Triage for New Keratoconus Referrals Using Multimodal Deep Learning,10.1016/j.xops.2026.101208,CC BY 4.0,Ophthalmology Science,21,27623
PMC13235761,Tube-Free Conjunctivodacryostomy: A Modified Technique for Refractory Proximal Lacrimal Obstruction With an Adequately Sized Lacrimal Sac,10.1167/tvst.15.6.6,CC BY 4.0,Translational Vision Science & Technology,8,16394
PMC13234968,Early postoperative effects of cardiopulmonary bypass surgery on optic nerve head and peripapillary retinal structures: an OCT-A study,10.1186/s12886-026-04830-9,CC BY 4.0,BMC Ophthalmology,6,23634
PMC13231526,Late-onset bullous keratopathy after iris-fixated phakic intraocular lens implantation: a case report,10.1186/s12886-026-04899-2,CC BY 4.0,BMC Ophthalmology,4,10915
PMC13228941,Radiomics-Based Fundus Photography Analysis in Diabetic Retinopathy,10.1167/tvst.15.5.27,CC BY 4.0,Translational Vision Science & Technology,14,24729
PMC13224645,Phacoemulsification with goniosynechialysis for nanophthalmos with secondary angle-closure or secondary angle-closure glaucoma: a 20-case series and stepwise management strategy,10.1186/s12886-026-04942-2,CC BY 4.0,BMC Ophthalmology,14,33492
PMC13224663,Anterior capsule polishing prevents anterior capsule fibrosis after phacovitrectomy without intraocular lens implantation,10.1186/s12886-026-04972-w,CC BY 4.0,BMC Ophthalmology,6,16273
PMC13225299,Parafoveal Dark Adaptation in Early and Intermediate Age-Related Macular Degeneration,10.1167/iovs.67.5.74,CC BY 4.0,Investigative Ophthalmology & Visual Science,12,24561
PMC13225303,Associations of Retinal Curvature With Choroidal Thickness and OCTA-Derived Choroidal Flow-Density Metric in High Myopia: A Two-Center OCTA Study of Interocular Asymmetry,10.1167/tvst.15.5.26,CC BY 4.0,Translational Vision Science & Technology,14,26913
PMC13225304,Biaxial Mechanical Behavior of the Choroid and Its Effect on Ocular Trauma Simulations,10.1167/iovs.67.5.64,CC BY 4.0,Investigative Ophthalmology & Visual Science,19,37522
PMC13224526,Primary high-grade mucoepidermoid carcinoma of the lacrimal gland: retrospective clinical-pathologic analysis of 20 cases,10.1186/s12886-026-04784-y,CC BY 4.0,BMC Ophthalmology,16,30397
PMC13221892,Quantification of Gaze-Dependent Corrective Errors With Fresnel Prisms: Implications for Strabismus Management,10.1167/iovs.67.5.68,CC BY 4.0,Investigative Ophthalmology & Visual Science,11,19735
PMC13221891,Real-Time High-Resolution OCT for Imaging Retinal and Choroidal Blood Flow,10.1167/iovs.67.5.69,CC BY 4.0,Investigative Ophthalmology & Visual Science,14,26947
PMC13221893,"Comparative Effectiveness of Three Myopia Control Lenses: A Multicenter, Real-World Study of 5182 Adolescents and Children in Chongqing, China",10.1167/tvst.15.5.22,CC BY 4.0,Translational Vision Science & Technology,16,32074
PMC13221734,Halo Measurements in Simulated Multifocal Intraocular Lenses,10.1167/tvst.15.5.21,CC BY 4.0,Translational Vision Science & Technology,15,27258
PMC13221730,Gamification Enhances User Engagement and Task Performance in Prosthetic Vision Testing,10.1167/tvst.15.5.16,CC BY 4.0,Translational Vision Science & Technology,19,35811
PMC13218244,Central and Peripheral Alterations of Retinal and Choroidal Vasculature in Multiple Sclerosis: Insights from Multimodal Imaging,10.1016/j.xops.2026.101192,CC BY 4.0,Ophthalmology Science,19,35396
PMC13218239,Geographic Atrophy in Patients with Age-Related Macular Degeneration Is Associated with Rare Variants in Complement Factor H and Complement Factor I,10.1016/j.xops.2026.101171,CC BY 4.0,Ophthalmology Science,10,24962
PMC13218248,Fluid Volumes Longitudinal Modeling to Predict Atrophy and Fibrosis in Neovascular Age-Related Macular Degeneration,10.1016/j.xops.2026.101190,CC BY 4.0,Ophthalmology Science,12,30550
PMC13217877,Association of systemic inflammatory indices and body mass index with diabetic macular edema in non-proliferative diabetic retinopathy,10.1186/s12886-026-04906-6,CC BY 4.0,BMC Ophthalmology,12,22292
PMC13213866,Applying Lincoff’s Rule to Central Serous Chorioretinopathy: The Macula Society International CSCR Research Network (MICRoN) Report-15,10.1016/j.xops.2026.101197,CC BY 4.0,Ophthalmology Science,15,37239
PMC13213873,Novel Clinical Trial Designs for Intermediate Age-Related Macular Degeneration,10.1016/j.xops.2026.101179,CC BY 4.0,Ophthalmology Science,16,38438
PMC13206794,Risk of Glaucoma Progression in Patients Using a Calcium Channel Blocker: A Propensity-Matched Cohort Study,10.1167/iovs.67.5.59,CC BY 4.0,Investigative Ophthalmology & Visual Science,8,13501
PMC13206738,Comparative Analysis of Intravitreal Diffusion Patterns Across Ex Vivo Human and In Vivo/Ex Vivo Animal Models,10.1167/iovs.67.5.56,CC BY 4.0,Investigative Ophthalmology & Visual Science,16,45927
PMC13206713,Spatial Selective Choroidal Stromal and Vascular Changes in Intermediate AMD: Insights From High-Density Optical Coherence Tomography Analysis,10.1167/iovs.67.5.49,CC BY 4.0,Investigative Ophthalmology & Visual Science,20,20541
PMC13206833,Scan Density Matters: Reproducibility of AI-Derived OCT Biomarkers in Diabetic Macular Edema,10.1167/tvst.15.5.12,CC BY 4.0,Translational Vision Science & Technology,16,32781
PMC13206755,FunduSegmenter: Leveraging the RETFound Foundation Model for Joint Optic Disc and Optic Cup Segmentation in Retinal Fundus Images,10.1167/tvst.15.5.14,CC BY 4.0,Translational Vision Science & Technology,31,44038
PMC13199977,First-in-Human Clinical Evaluation of a Novel Nonsurgical Suprachoroidal Delivery Approach for Triamcinolone in Diabetic Macular Edema,10.1016/j.xops.2026.101185,CC BY 4.0,Ophthalmology Science,16,23218
PMC13197318,OCT findings as a biomarker of disease activity in retinopathy of prematurity,10.1007/s00417-026-07131-5,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,9,18493
PMC13197342,Intraocular pressure and corneal biomechanics in patients affected by myotonic dystrophy type 1,10.1007/s00417-026-07156-w,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,6,15800
PMC13197232,Therapeutic potential of prolactin-releasing anti-dopaminergic agents in experimental diabetic retinopathy model,10.1007/s00417-026-07173-9,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,11,21533
PMC13197346,Television decreases intra-operative hypertensive events in cataract surgery: a randomized clinical trial,10.1007/s00417-026-07140-4,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,9,22919
PMC13197270,Retinal ischemia after cardiovascular interventions: Neuroimaging correlates and timing phenotypes in a consecutive series,10.1007/s00417-026-07143-1,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,9,18333
PMC13197360,"Aqueous humour cytokine profiles in retinal vein occlusion: a comparative study of acute, chronic recurrent, and control eyes",10.1007/s00417-026-07152-0,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,18,28103
PMC13197287,"A comparative analysis of an AI-assisted virtual reality platform with technician-based examination for visual field, visual acuity, and color vision in neuro-ophthalmology",10.1007/s00417-026-07148-w,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,10,23828
PMC13197308,Microvascular markers in systemic sclerosis: a comparative OCT-angiography and nailfold videocapillaroscopy study,10.1007/s00417-026-07123-5,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,6,23189
PMC13197265,"Efficacy, effectiveness, and safety of rho-kinase inhibitors in uveitic glaucoma and ocular hypertension secondary to uveitis: a systematic review and meta-analysis",10.1007/s00417-025-07111-1,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,27,42348
PMC13197236,A physical and morphometric analysis of intraocular foreign bodies and their clinical correlation,10.1007/s00417-025-07106-y,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,9,17618
PMC13195606,Predicting Visual Field Loss in Glaucoma Using OCT and Deep Learning: A Comparative Study of U-Net Variants,10.1016/j.xops.2026.101169,CC BY 4.0,Ophthalmology Science,15,35048
PMC13195619,Integrating Polygenic Risk and Ocular Phenotyping Reveals an Axial-Length–Dominant Mechanism in High and Extreme High Myopia,10.1016/j.xops.2026.101194,CC BY 4.0,Ophthalmology Science,19,32123
PMC13195912,Bilateral steroid-induced glaucoma following monocular steroid therapy: a case report,10.1186/s12886-026-04829-2,CC BY 4.0,BMC Ophthalmology,4,12095
PMC13194780,A call to develop rigorous standards for excellence in idiopathic intracranial hypertension: RISE-IIH,10.1038/s41433-026-04358-8,CC BY 4.0,Eye,1,48
PMC13195103,Use of intravitreal fluocinolone acetonide implant in inflammatory macular oedema,10.1038/s41433-026-04381-9,CC BY 4.0,Eye,15,31705
PMC13194740,Idiopathic intracranial hypertension patients can be effectively managed using an OCT-based telemedicine model,10.1038/s41433-026-04385-5,CC BY 4.0,Eye,11,20323
PMC13195173,Assessment and management of dry eye disease in the UK: standardising reality-based best practice,10.1038/s41433-026-04375-7,CC BY 4.0,Eye,18,30519
PMC13194914,Are amblyopia therapy outcomes related to socioeconomic situation for children in Greater Manchester?,10.1038/s41433-026-04280-z,CC BY 4.0,Eye,23,28003
PMC13194784,The role of feedback in amblyopia treatment – a multi-centre randomised control trial,10.1038/s41433-026-04383-7,CC BY 4.0,Eye,23,26872
PMC13194951,Real-world treatment patterns and visual outcomes of faricimab in patients with neovascular age-related macular degeneration in the UK at 12 months: the FARWIDE-nAMD study,10.1038/s41433-025-04213-2,CC BY 4.0,Eye,22,29171
PMC13194956,Evaluation of photoreceptor integrity in diabetic retinopathy using high-resolution optical coherence tomography,10.1038/s41433-026-04353-z,CC BY 4.0,Eye,14,23063
PMC13196850,EPIRETINAL PROLIFERATION EMBEDDING WITHOUT INTERNAL LIMITING MEMBRANE PEELING FOR LAMELLAR MACULAR HOLE,10.1097/IAE.0000000000004792,CC BY 4.0,"Retina (Philadelphia, Pa.)",4,13263
PMC13193207,Longitudinal Multi-Omics Profiling of Aqueous Humor Implicates GALNS Depletion as a Pro-Fibrotic Mediator of Anti-VEGF Therapy in PDR,10.1167/iovs.67.5.43,CC BY 4.0,Investigative Ophthalmology & Visual Science,16,29311
PMC13189205,RPE With ROCK-Mediated Epithelial-Mesenchymal Transition as a Key Contributor of Subretinal Fibrosis in AMD,10.1167/iovs.67.5.33,CC BY 4.0,Investigative Ophthalmology & Visual Science,29,37923
PMC13186007,"Quantitative Markers of Neural Changes, Retinal Thickness, and Responses to Electrical Stimulation in Retinal Degeneration",10.1016/j.xops.2026.101174,CC BY 4.0,Ophthalmology Science,22,34433
PMC13182862,Linear Viscoelasticity of Human Ocular Tissues During Tensile Stress Relaxation,10.1167/iovs.67.5.26,CC BY 4.0,Investigative Ophthalmology & Visual Science,9,23687
PMC13182033,Effects of anti-VEGF therapy on choroidal thickness in eyes with diabetic macular edema,10.1186/s12886-026-04811-y,CC BY 4.0,BMC Ophthalmology,15,25329
PMC13179687,"Voretigene Neparvovec Gene Therapy in Clinical Practice: A 12-Month, Single-Center, In-Depth Analysis of Beneficial and Adverse Drug Effects",10.1167/tvst.15.5.9,CC BY 4.0,Translational Vision Science & Technology,9,32305
PMC13179590,Tear Film Imager Findings Support a New Perspective on the Mechanisms of Tear Film Thinning in Healthy Subjects,10.1167/iovs.67.5.22,CC BY 4.0,Investigative Ophthalmology & Visual Science,6,25907
PMC13177189,Small Copy Number Neutral Intrachromosomal Translocation of PAX6 and Aniridia,10.1001/jamaophthalmol.2026.1389,CC BY 4.0,JAMA Ophthalmology,7,4955
PMC13170726,“Time to See” in Infantile Nystagmus,10.1167/iovs.67.5.17,CC BY 4.0,Investigative Ophthalmology & Visual Science,18,28376
PMC13170724,Comparative Effects of Riboflavin-UVA and Rose Bengal–Green Light Cross-Linking on Corneal Neovascularization,10.1167/iovs.67.5.16,CC BY 4.0,Investigative Ophthalmology & Visual Science,13,20212
PMC13170729,Risk Factors and Structural Impact of Macular Edema in Preterm Infants: An OCT-Based Cohort Study,10.1167/iovs.67.5.12,CC BY 4.0,Investigative Ophthalmology & Visual Science,13,25635
PMC13169592,Central retinal artery occlusion following transcatheter aortic valve implantation (TAVI) for aortic stenosis: a case report,10.1186/s12886-026-04805-w,CC BY 4.0,BMC Ophthalmology,5,11501
PMC13164572,Suboptimal Responses to Anti-VEGF in Retinal Neurovascular Diseases: Linking Aging and Alternative Angioinflammatory Pathways,10.1167/iovs.67.5.4,CC BY 4.0,Investigative Ophthalmology & Visual Science,20,31990
PMC13162386,Effect of the long-term wearing of spectacle lenses with highly aspherical lenslets on visual field sensitivity in children with myopia,10.1186/s12886-026-04781-1,CC BY 4.0,BMC Ophthalmology,10,19322
PMC13161383,"The Royal College of Ophthalmologists National Ophthalmology Database age-related macular degeneration (AMD) audit: report 1, associations with socio-economic deprivation in neovascular AMD",10.1038/s41433-026-04382-8,CC BY 4.0,Eye,14,20326
PMC13161275,"Clinical features, management, and long-term visual outcomes of glaucoma associated with cosmetic iris implants",10.1038/s41433-026-04416-1,CC BY 4.0,Eye,4,3571
PMC13161291,Incidence of post-traumatic endophthalmitis following repaired open globe injury: impact of prophylactic intracameral moxifloxacin,10.1038/s41433-026-04338-y,CC BY 4.0,Eye,8,23667
PMC13161317,AI-assisted analysis of early fluid dynamics following aflibercept 8 mg in treatment-naïve neovascular AMD,10.1038/s41433-026-04319-1,CC BY 4.0,Eye,18,27368
PMC13161277,"Paediatric uveal melanoma in Ireland 2010 – 2024: incidence, clinical features, management, and outcomes",10.1038/s41433-026-04334-2,CC BY 4.0,Eye,13,21514
PMC13161219,Feasibility and reproducibility of handheld and table-mounted optical coherence tomography in children with craniosynostosis,10.1038/s41433-026-04317-3,CC BY 4.0,Eye,14,21899
PMC13161261,Comparison of portable devices with standard glaucoma diagnostic testing for the detection of glaucoma for the purposes of glaucoma case finding in low-and middle- income countries,10.1038/s41433-026-04297-4,CC BY 4.0,Eye,22,34208
PMC13161218,Complications after radiotherapy in patients with Graves’ orbitopathy: A nationwide cohort study,10.1038/s41433-026-04284-9,CC BY 4.0,Eye,11,24007
